"Uniprot","Genes","Pathways"
"A0AV96","RBM47","Cluster 3"
"A0AVF1","TTC26","Cluster 3"
"A0AVT1","UBA6","Cluster 2"
"A0JLT2","MED19","Cluster 5"
"A0JNW5","UHRF1BP1L","Cluster 3"
"A0MZ66","SHTN1","Cluster 3"
"A0PJW6","TMEM223","Cluster 4"
"A0PK00","TMEM120B","Cluster 4"
"A1A4S6","ARHGAP10","Cluster 3"
"A1A5C7","SLC22A23","Cluster 3"
"A1A5D9","BICDL2","Cluster 3"
"A1L020","MEX3A","Cluster 3"
"A1L0T0","ILVBL","Cluster 4"
"A1L390","PLEKHG3","Cluster 3"
"A1L3X0","ELOVL7","Cluster 3"
"A1X283","SH3PXD2B","Cluster 3"
"A1XBS5","FAM92A","Cluster 5"
"A2A288","ZC3H12D","Cluster 3"
"A2AJT9","BCLAF3","Cluster 5"
"A2RRP1","NBAS","Cluster 4"
"A2RTX5","TARSL2","Cluster 3"
"A2RU67","FAM234B","Cluster 3"
"A2RUC4","TYW5","Cluster 2"
"A3KMH1","VWA8","Cluster 4"
"A3KN83","SBNO1","Cluster 2"
"A4D161","FAM221A","Cluster 3"
"A4D1E9","GTPBP10","Cluster 4"
"A4D1P6","WDR91","Cluster 3"
"A4D1S0","KLRG2","Cluster 3"
"A4D1S5","RAB19","Cluster 3"
"A4D2B0","MBLAC1","Cluster 3"
"A4D2H0","CTAGE15","Cluster 3"
"A5A3E0","POTEF","Cluster 3"
"A5D8V6","VPS37C","Cluster 1"
"A5PLL7","TMEM189","Cluster 4"
"A5PLL7","TMEM189","Cluster 4"
"A5YKK6","CNOT1","Cluster 2"
"A6H8Y1","BDP1","Cluster 5"
"A6NC98","CCDC88B","Cluster 3"
"A6NCE7","MAP1LC3B2","Cluster 3"
"A6NCS6","C2orf72","Cluster 3"
"A6ND36","FAM83G","Cluster 3"
"A6NDB9","PALM3","Cluster 3"
"A6NDE4","RBMY1B","Cluster 3"
"A6NDG6","PGP","Cluster 1"
"A6NDU8","C5orf51","Cluster 1"
"A6NED2","RCCD1","Cluster 3"
"A6NF51","BPNT1","Cluster 1"
"A6NFI3","ZNF316","Cluster 4"
"A6NFQ2","TCAF2","Cluster 3"
"A6NHL2","TUBAL3","Cluster 3"
"A6NHQ2","FBLL1","Cluster 3"
"A6NHQ4","EPOP","Cluster 3"
"A6NHR9","SMCHD1","Cluster 4"
"A6NHX0","CASTOR2","Cluster 3"
"A6NI28","ARHGAP42","Cluster 3"
"A6NI56","CCDC154","Cluster 3"
"A6NIH7","UNC119B","Cluster 1"
"A6NJ78","METTL15","Cluster 4"
"A6NK58","LIPT2","Cluster 4"
"A6NKD9","CCDC85C","Cluster 3"
"A6NKF1","SAC3D1","Cluster 2"
"A6NM62","LRRC53","Cluster 4"
"A6NMZ7","COL6A6","Cluster 5"
"A6NNT2","C16orf96","Cluster 3"
"A6PVN8","PTPA","Cluster 2"
"A6QL63","BTBD11","Cluster 3"
"A6QL64","ANKRD36","Cluster 3"
"A6ZKI3","RTL8C","Cluster 3"
"A7E2Y1","MYH7B","Cluster 3"
"A7KAX9","ARHGAP32","Cluster 3"
"A7MCY6","TBKBP1","Cluster 5"
"A8CG34","POM121C","Cluster 5"
"A8K2U0","A2ML1","Cluster 2"
"A8K855","EFCAB7","Cluster 3"
"A8MPS7","YDJC","Cluster 3"
"A8MSI8","LYRM9","Cluster 3"
"A8MT69","CENPX","Cluster 4"
"A8MT70","ZBBX","Cluster 3"
"A8MTT3","CEBPZOS","Cluster 4"
"A8MUA9","SUMO3","Cluster 1"
"A8MUP8","RARA","Cluster 4"
"A8MVW0","FAM171A2","Cluster 3"
"A8MWY0","KIAA1324L","Cluster 3"
"A8MXB9","SUMF2","Cluster 5"
"A8MXP9","MATR3","Cluster 5"
"A8MXV4","NUDT19","Cluster 3"
"A8MZ84","LAIR1","Cluster 3"
