Path_id	Path_description	Path_category	Path_type
hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	metabolic
hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	metabolic
hsa00030	Pentose phosphate pathway - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	metabolic
hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	metabolic
hsa00051	Fructose and mannose metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	metabolic
hsa00052	Galactose metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	metabolic
hsa00053	Ascorbate and aldarate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	metabolic
hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	Metabolism; Lipid metabolism	metabolic
hsa00062	Fatty acid elongation - Homo sapiens (human)	Metabolism; Lipid metabolism	metabolic
hsa00071	Fatty acid degradation - Homo sapiens (human)	Metabolism; Lipid metabolism	metabolic
hsa00072	Synthesis and degradation of ketone bodies - Homo sapiens (human)	Metabolism; Lipid metabolism	metabolic
hsa00100	Steroid biosynthesis - Homo sapiens (human)	Metabolism; Lipid metabolism	metabolic
hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	Metabolism; Lipid metabolism	metabolic
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	metabolic
hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	Metabolism; Lipid metabolism	metabolic
hsa00190	Oxidative phosphorylation - Homo sapiens (human)	Metabolism; Energy metabolism	metabolic
hsa00220	Arginine biosynthesis - Homo sapiens (human)	Metabolism; Amino acid metabolism	metabolic
hsa00230	Purine metabolism - Homo sapiens (human)	Metabolism; Nucleotide metabolism	metabolic
hsa00232	Caffeine metabolism - Homo sapiens (human)	Metabolism; Biosynthesis of other secondary metabolites	metabolic
hsa00240	Pyrimidine metabolism - Homo sapiens (human)	Metabolism; Nucleotide metabolism	metabolic
hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	metabolic
hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	metabolic
hsa00270	Cysteine and methionine metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	metabolic
hsa00280	Valine, leucine and isoleucine degradation - Homo sapiens (human)	Metabolism; Amino acid metabolism	metabolic
hsa00290	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	Metabolism; Amino acid metabolism	metabolic
hsa00310	Lysine degradation - Homo sapiens (human)	Metabolism; Amino acid metabolism	metabolic
hsa00330	Arginine and proline metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	metabolic
hsa00340	Histidine metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	metabolic
hsa00350	Tyrosine metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	metabolic
hsa00360	Phenylalanine metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	metabolic
hsa00380	Tryptophan metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	metabolic
hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)	Metabolism; Amino acid metabolism	metabolic
hsa00410	beta-Alanine metabolism - Homo sapiens (human)	Metabolism; Metabolism of other amino acids	metabolic
hsa00430	Taurine and hypotaurine metabolism - Homo sapiens (human)	Metabolism; Metabolism of other amino acids	metabolic
hsa00440	Phosphonate and phosphinate metabolism - Homo sapiens (human)	Metabolism; Metabolism of other amino acids	metabolic
hsa00450	Selenocompound metabolism - Homo sapiens (human)	Metabolism; Metabolism of other amino acids	metabolic
hsa00471	D-Glutamine and D-glutamate metabolism - Homo sapiens (human)	Metabolism; Metabolism of other amino acids	metabolic
