Entry	Entry name	Protein names	Gene names
O75821	EIF3G_HUMAN	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44)	EIF3G EIF3S4
Q9Y262	EIF3L_HUMAN	Eukaryotic translation initiation factor 3 subunit L (eIF3l) (Eukaryotic translation initiation factor 3 subunit 6-interacting protein) (Eukaryotic translation initiation factor 3 subunit E-interacting protein)	EIF3L EIF3EIP EIF3S6IP HSPC021 HSPC025 MSTP005
Q9BY44	EIF2A_HUMAN	Eukaryotic translation initiation factor 2A (eIF-2A) (65 kDa eukaryotic translation initiation factor 2A) [Cleaved into: Eukaryotic translation initiation factor 2A, N-terminally processed]	EIF2A CDA02 MSTP004 MSTP089
O60573	IF4E2_HUMAN	Eukaryotic translation initiation factor 4E type 2 (eIF-4E type 2) (eIF4E type 2) (Eukaryotic translation initiation factor 4E homologous protein) (Eukaryotic translation initiation factor 4E-like 3) (eIF4E-like protein 4E-LP) (mRNA cap-binding protein 4EHP) (h4EHP) (mRNA cap-binding protein type 3)	EIF4E2 EIF4EL3
Q14152	EIF3A_HUMAN	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185)	EIF3A EIF3S10 KIAA0139
O15371	EIF3D_HUMAN	Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66)	EIF3D EIF3S7
P55884	EIF3B_HUMAN	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (Prt1 homolog) (hPrt1) (eIF-3-eta) (eIF3 p110) (eIF3 p116)	EIF3B EIF3S9
O00303	EIF3F_HUMAN	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	EIF3F EIF3S5
P60228	EIF3E_HUMAN	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (Viral integration site protein INT-6 homolog) (eIF-3 p48)	EIF3E EIF3S6 INT6
Q13347	EIF3I_HUMAN	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TGF-beta receptor-interacting protein 1) (TRIP-1) (eIF-3-beta) (eIF3 p36)	EIF3I EIF3S2 TRIP1
O15372	EIF3H_HUMAN	Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit)	EIF3H EIF3S3
Q99613	EIF3C_HUMAN	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110)	EIF3C EIF3S8
O75822	EIF3J_HUMAN	Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 subunit 1) (eIF-3-alpha) (eIF3 p35)	EIF3J EIF3S1 PRO0391
P38919	IF4A3_HUMAN	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]	EIF4A3 DDX48 KIAA0111
Q9UBQ5	EIF3K_HUMAN	Eukaryotic translation initiation factor 3 subunit K (eIF3k) (Eukaryotic translation initiation factor 3 subunit 12) (Muscle-specific gene M9 protein) (PLAC-24) (eIF-3 p25) (eIF-3 p28)	EIF3K EIF3S12 ARG134 HSPC029 MSTP001 PTD001
P05198	IF2A_HUMAN	Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha)	EIF2S1 EIF2A
P41091	IF2G_HUMAN	Eukaryotic translation initiation factor 2 subunit 3 (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma X) (eIF-2-gamma X) (eIF-2gX)	EIF2S3 EIF2G
Q9NRA8	4ET_HUMAN	Eukaryotic translation initiation factor 4E transporter (4E-T) (eIF4E transporter) (Eukaryotic translation initiation factor 4E nuclear import factor 1)	EIF4ENIF1
P20042	IF2B_HUMAN	Eukaryotic translation initiation factor 2 subunit 2 (Eukaryotic translation initiation factor 2 subunit beta) (eIF-2-beta)	EIF2S2 EIF2B
